epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
170,1521.02,1.0083,0.55599,0.9215,0.85607,0.87669,0.92501,0.65525,1.09417,0.59093,0.98599,0.00133076,0.00133076,0.00133076
171,1530.12,1.00622,0.55244,0.91609,0.85857,0.87519,0.92662,0.6646,1.08172,0.58325,0.97333,0.0013268,0.0013268,0.0013268
172,1539.18,0.99727,0.55625,0.9239,0.88594,0.85714,0.92725,0.66351,1.07323,0.59298,0.97613,0.00132284,0.00132284,0.00132284
173,1548.2,1.00298,0.54353,0.92768,0.8902,0.8534,0.92069,0.66199,1.08315,0.57695,0.97553,0.00131888,0.00131888,0.00131888
174,1557.23,1.00976,0.55436,0.9268,0.87463,0.87073,0.91937,0.66144,1.07986,0.58104,0.9743,0.00131492,0.00131492,0.00131492
175,1566.18,0.99277,0.53934,0.91605,0.88039,0.86165,0.92403,0.65487,1.09656,0.58913,0.98589,0.00131096,0.00131096,0.00131096
176,1575.3,1.0051,0.55267,0.92712,0.86277,0.87924,0.92213,0.66455,1.09095,0.58468,0.97959,0.001307,0.001307,0.001307
177,1584.33,1.00193,0.55056,0.92796,0.85009,0.87368,0.92051,0.65482,1.08908,0.60162,0.984,0.00130304,0.00130304,0.00130304
178,1593.51,0.99863,0.54559,0.92633,0.87418,0.86316,0.92457,0.6603,1.08041,0.58683,0.98047,0.00129908,0.00129908,0.00129908
179,1602.59,0.9977,0.53906,0.92409,0.85142,0.89173,0.92653,0.66256,1.10017,0.5852,0.98508,0.00129512,0.00129512,0.00129512
